tmdb,imdb,streamings,Title,Duration,Year,Age,popularity
7.4,8,| Movistar | FlixOLE |,"Bienvenido, Míster Marshall ",78,1953,0,2.767
8,8.1,| FlixOLE |,Los santos inocentes ,107,1984,12,4.082
7.3,7.4,| Movistar | FlixOLE |,Tesis ,125,1996,18,11.043
7.5,7.6,| Filmin | Netflix |,Volver ,121,2006,0,12.237
7.5,7.8,| Movistar | FlixOLE |,Abre los ojos ,117,1997,0,12.726
7.6,7.9,| Movistar | FlixOLE |,Plácido ,83,1961,0,2.827
7.7,8.2,| FlixOLE |,Viridiana ,90,1961,18,13.204
6.8,7.5,| FlixOLE |,Furtivos ,82,1975,0,2.936
6.7,7.3,| Movistar | FlixOLE |,¿Quién puede matar a un niño? ,106,1976,18,8.714
7.3,7.7,| FlixOLE |,Muerte de un ciclista ,88,1955,0,6.362
7.2,7.6,| FlixOLE |,Surcos ,99,1951,0,0.959
7.5,7.3,| Filmin |,Magical Girl ,127,2014,16,7.327
7.6,7.9,| Filmin | Netflix | HBO |,Hable con ella ,112,2002,0,9.067
6.8,7.3,| FlixOLE |,La comunidad ,110,2000,0,5.188
7.2,7.6,| Movistar | FlixOLE |,La lengua de las mariposas ,97,1999,APTA,6.843
7.2,7.4,| Movistar | FlixOLE |,El día de la bestia ,103,1995,18,11.936
7.3,7.5,| Movistar | FlixOLE |,"Amanece, que no es poco ",110,1989,APTA,3.263
7.4,7.6,| Filmin | Netflix |,Mujeres al borde de un ataque de nervios ,88,1988,0,16.338
7.6,7.6,| FlixOLE |,Los otros ,101,2001,12,22.712
7.5,8,| Movistar | FlixOLE |,El verdugo ,87,1963,18,6.427
7.4,7.6,| Filmin |,Arrugas ,89,2011,0,4.006
7.3,7.9,| FlixOLE |,El cebo ,95,1958,0,8.141
7.8,7.9,| FlixOLE |,El Sur ,95,1983,0,5.597
7.5,7.2,| Filmin | Netflix |,¿Qué he hecho yo para merecer esto! ,102,1984,18,6.228
6.7,7.2,| Movistar | FlixOLE |,"¡Ay, Carmela! ",102,1990,0,4.843
6.8,7.3,|,La voz dormida ,119,2011,0,5.335
6.1,6.7,| Filmin | Amazon |,Carmina y amén. ,97,2014,12,4.267
6.7,6.5,| Amazon | FlixOLE |,Balada triste de trompeta ,107,2010,16,7.92
6.9,7.3,| Filmin |,El cochecito ,85,1960,0,1.628
8.1,8.3,| Filmin |,La caza ,115,2012,12,12.985
6.9,7.5,| FlixOLE |,La vaquilla ,122,1985,0,3.729
6.2,5.9,| Amazon |,Tiempo después ,95,2018,7,4.283
7.5,7.6,| Amazon | Netflix |,Celda 211 ,110,2009,18,12.111
7.2,7.5,| Filmin | Netflix |,Total (TV),113,1990,APTA,25.728
7,7.2,| Filmin | Amazon |,Los cronocrímenes ,92,2007,0,18.403
6.8,7.3,| Filmin | Amazon |,Salvador (Puig Antich) ,134,2006,0,4.032
5.5,6.8,| FlixOLE |,Stico ,105,1985,0,1.27
7.8,7.9,| Movistar | FlixOLE |,El espíritu de la colmena ,98,1973,0,13.213
7.9,7.8,| Filmin |,Orgullo ,121,2014,7,6.972
0,7.3,| Filmin |,Manic Pixie Dream Girl ,70,2013,0,0.6
6.4,6.5,| Filmin |,El mundo es nuestro ,87,2012,APTA,4.945
6.8,7.5,| Filmin |,En construcción ,125,2001,0,2.326
7,7.2,| Filmin | Amazon | Netflix |,Mientras duermes ,97,2011,16,10.546
10,0,| Filmin |,Las llaves de la memoria ,94,2016,APTA,0.838
7.3,7,| Netflix |,Quién te cantará ,125,2018,16,9.747
