streamings,Title,popularity,Year,Duration,imdb,tmdb,Age
| Filmin | Movistar |,Psicosis ,31.241,1960,109,8.5,8.4,12
| Filmin |,Cuando pasan las cigüeñas ,9.139,1957,97,8.3,8.2,0
| Filmin |,Metrópolis ,20.756,1927,114,0,8.2,0
| Filmin | Amazon |,Luces de la ciudad ,15.865,1931,87,8.5,8.4,0
|,¡Qué verde era mi valle! ,10.529,1941,118,7.7,7.2,0
| Amazon | Netflix |,El resplandor ,48.852,1980,144,8.4,8.2,16
| Movistar |,Sin perdón ,15.806,1992,131,8.2,7.9,APTA
|,Hasta que llegó su hora ,22.095,1968,175,8.5,8.3,0
| Amazon | HBO | Movistar |,Pulp Fiction ,48.725,1994,154,8.9,8.5,18
| Movistar | FlixOLE |,"Bienvenido, Míster Marshall ",2.767,1953,78,8,7.4,0
