streamings,Year,Age,tmdb,Duration,popularity,imdb,Title
| Filmin | Amazon |,1955,0,7.9,118,8.703,8.2,Rififi 
| Filmin |,2013,0,7.4,130,10.644,7.2,Why Don't You Play in Hell? 
| Filmin |,2010,12,8.1,130,19.621,8.3,Incendies 
| Filmin |,2009,18,7.2,98,18.462,7.3,Canino 
| Movistar | FlixOLE |,1976,18,6.7,106,8.714,7.3,¿Quién puede matar a un niño? 
| Filmin | Amazon |,1957,0,8,108,14.766,8.1,Trono de sangre 
| Amazon |,1997,APTA,8,89,12.311,8.3,Los niños del paraíso 
| Filmin |,1925,0,7.7,140,7.23,8.1,Avaricia 
| Filmin |,2010,18,7.8,141,18.654,7.8,Encontré al diablo 
| Filmin |,2014,0,7.3,107,4.495,7.4,Camino de la cruz 
| Filmin |,1930,0,7.4,100,10.267,7.7,El ángel azul 
| Filmin |,2014,16,8.3,139,17.666,8.1,Mommy 
| Filmin |,1956,0,7.4,98,1.547,7.8,Calle Mayor 
| Amazon |,1960,12,8.2,125,12.936,8.5,La evasión 
| Filmin | Amazon |,1977,12,7.6,99,22.822,7.4,Suspiria 
| Filmin |,1964,0,8,135,5.817,8.2,Soy Cuba 
| Filmin | Amazon |,2004,7,7.7,103,10.049,7.8,Perversidad 
| Amazon |,1979,0,7.5,129,5.013,7.9,I... como Ícaro 
| FlixOLE |,1951,0,7.2,99,0.959,7.6,Surcos 
| Amazon |,2012,0,0,101,0.964,8.2,Endemoniada 
| Filmin |,2004,0,7.8,88,59.918,8,Hierro 3 
| Filmin |,2011,16,7.6,110,9.512,7.5,Tenemos que hablar de Kevin 
| FlixOLE |,1960,0,8.4,92,2.772,8.1,El esqueleto de la señora Morales 
| Filmin |,1932,0,7.1,110,4.255,7.7,Las cruces de madera 
| FlixOLE |,1960,0,8.1,177,14.874,8.3,Rocco y sus hermanos 
| Filmin |,2001,0,6.8,125,2.326,7.5,En construcción 
| Filmin |,1993,18,7.1,105,11.987,7.2,El vídeo de Benny 
| Filmin |,2003,0,7.5,121,10.792,7.9,Contra la pared 
| Filmin |,1965,0,8,128,4.13,8.2,La tienda en la calle mayor 
| Filmin |,1957,0,8.2,97,9.139,8.3,Cuando pasan las cigüeñas 
| Filmin | Netflix |,1997,18,8.2,81,29.566,8,Perfect Blue 
| FlixOLE |,2001,18,6.6,128,14.119,7.1,Lucía 
| Filmin |,1958,0,8.3,106,8.995,8,Rufufú 
| Netflix |,2017,16,6.3,146,18.287,6.4,Cure 
| Filmin | Netflix |,1990,APTA,7.2,113,25.728,7.5,Total (TV)
| Filmin |,2017,0,7.9,127,1.246,7.5,No Intenso Agora (In the Intense Now) 
| Movistar |,2018,16,6.3,108,19.445,5.9,Nación salvaje 
| Filmin | Amazon | Movistar |,2006,16,7.3,125,10.393,7.5,No se lo digas a nadie 
| Movistar |,2018,12,6.9,121,14.844,7,Los hermanos Sisters 
| Filmin |,1962,18,7.6,117,7.802,7.9,Días de vino y rosas 
| Filmin |,2018,12,7.6,90,10.73,7.5,Custodia compartida 
| Filmin |,2016,APTA,10,94,0.838,0,Las llaves de la memoria 
| Filmin |,2018,0,9,84,0.65,7.5,La cifra negra 
| Filmin |,2009,18,7.6,155,12.321,7.9,Un profeta 
| Filmin |,2010,0,8,124,1.853,8.4,Che: Un hombre nuevo 
