imdb,Duration,streamings,tmdb,Age,popularity,Title,Year
6.4,104,| Filmin | Amazon | HBO | FlixOLE |,6,12,9.198,Hojas de hierba ,2009
7.8,97,| Filmin |,7.6,0,9.82,Alarma en el expreso ,1938
7.2,115,| Filmin | FlixOLE |,6.9,12,6.346,El método ,2005
6.9,91,| Filmin |,6.6,18,14.991,Nueva York bajo el terror de los zombies ,1979
7.6,124,| Filmin |,7,0,3.014,Moolaadé (Protección) ,2004
8.1,98,| Filmin |,7.5,0,7.294,Las tortugas también vuelan ,2005
8.3,89,| Amazon |,8,APTA,12.311,Niños del paraíso ,1997
7.2,161,| Movistar |,6.9,0,8.995,Bird ,1988
7,103,| Netflix |,6.6,12,14.603,Troll Hunter ,2010
6.5,82,| Filmin |,6.5,18,6.567,The Addiction ,1995
8.2,114,| Netflix |,7.5,0,6.337,El cameraman ,2017
7.3,123,| Filmin |,7.3,12,10.869,Sólo los amantes sobreviven ,2013
6.3,117,| Filmin |,6.1,0,3.959,Insertos ,1975
7.8,146,| Filmin |,7.9,0,9.061,El caballo de Turín ,2011
7.2,102,| Filmin |,6.9,0,17.782,Cashback ,2006
7,105,| FlixOLE |,6.9,18,5.641,Matador ,1986
7.1,78,| Filmin | Amazon |,6.9,0,7.361,El carnaval de las almas ,1962
7.5,111,| Filmin |,7.3,0,19.266,Zatoichi ,2003
5.9,115,| Movistar |,6,12,14.916,Daylight ,1996
6.3,126,| Movistar | FlixOLE |,6.2,18,13.542,Perdita Durango ,1997
6.8,97,| Amazon |,6.8,12,12.657,Cypher ,2002
8.1,93,| Filmin | Amazon | FlixOLE |,8,0,30.099,Hachi-ko ,2009
7.2,102,| Filmin |,7,0,7.687,Kamikaze Girls ,2004
5.3,87,| Filmin | Amazon |,6.2,12,71.304,Hansel y Gretel ,2020
7.4,106,| Filmin |,7.1,7,9.524,In the Loop ,2009
7.5,104,| Filmin |,7.3,APTA,6.539,Blancanieves ,2012
7.1,93,| Filmin |,6.9,0,4.096,Symbol ,2009
